,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
83,Apheleia,Ἀφέλεια,personification,personification,spirit of simplicity,Apheleia,Apheleia
84,The Arae,Ἀραί,personification,personification,spirits of curses,Arae,The Arae
85,Arete,Ἀρετή,personification,personification,"spirit of virtue, excellence, goodness, and valour",Arete,Arete
86,Atë,Ἄτη,personification,personification,"spirit of delusion, infatuation, blind folly, recklessness, and ruin",At%C3%AB,Atë
87,Bia,"Βία ""Violence""",personification,personification, personification of force and raw energy,Bia_(mythology),Bia
88,Caerus,Καιρός,personification,personification,spirit of opportunity,Caerus,Caerus
89,Corus,Κόρος,personification,personification,spirit of surfeit,Corus_(mythology),Corus
90,Deimos,Δεῖμος,personification,personification,"spirit of fear, dread, and terror",Deimos_(deity),Deimos
91,Dikaiosyne,Δικαιοσύνη,personification,personification,spirit of justice and righteousness,nan,Dikaiosyne
92,Dike,Δίκη,personification,personification,"spirit of justice, fair judgement, and the rights established by custom and law",Dike_(mythology),Dike
93,Dolos,Δόλος,personification,personification,"spirit of trickery, cunning deception, craftiness, treachery, and guile",Dolos_(mythology),Dolos
94,Dysnomia,Δυσνομία,personification,personification,spirit of lawlessness and poor civil constitution,Dysnomia_(deity),Dysnomia
95,Dyssebeia,Δυσσέβεια,personification,personification,spirit of impiety,Dyssebeia,Dyssebeia
96,Eiresione,Ειρεσιώνη,personification,personification,personification of the olive branch,Eiresione,Eiresione
97,Ekecheiria,Ἐκεχειρία,personification,personification,"spirit of truce, armistice, and the cessation of all hostilities; honoured at the olympic games",Ekecheiria,Ekecheiria
98,Eleos,Ἔλεος,personification,personification,"spirit of mercy, pity, and compassion",Eleos,Eleos
99,Elpis,Ἐλπίς,personification,personification,spirit of hope and expectation,Elpis_(mythology),Elpis
100,Epiphron,Ἐπίφρων,personification,personification,"spirit of prudence, shrewdness, thoughtfulness, carefulness, and sagacity",Epiphron,Epiphron
